benchmark_id,group,source,layout,latency_seconds,output_chars,error
doc_001,table_hard,academic_literature,other_layout,19.669268167002883,9911,
doc_002,table_hard,academic_literature,double_column,6.174448541001766,5138,
doc_003,table_hard,academic_literature,single_column,6.580897291001747,5135,
doc_004,table_hard,academic_literature,double_column,9.275605207993067,9726,
doc_005,table_hard,research_report,single_column,13.413571333003347,18188,
doc_006,equation_hard,book,single_column,4.852006333996542,1546,
doc_007,equation_hard,book,single_column,3.748584416003723,992,
doc_008,equation_hard,academic_literature,single_column,3.396874582998862,1547,
doc_009,equation_hard,academic_literature,single_column,2.6108786249969853,1044,
doc_010,equation_hard,academic_literature,single_column,2.9751653330022236,887,
doc_011,layout_hard,book,single_column,1.5939652920060325,562,
doc_012,layout_hard,exam_paper,other_layout,2.4414182909968076,296,
doc_013,layout_hard,magazine,double_column,3.6649766669943347,484,
doc_014,layout_hard,book,single_column,2.6918913749977946,1528,
doc_015,layout_hard,exam_paper,single_column,1.915942042003735,440,
doc_016,general,academic_literature,1andmore_column,6.3790973750001285,3925,
doc_017,general,academic_literature,double_column,4.2130673749998095,4771,
doc_018,general,book,single_column,3.4130612919980194,2323,
doc_019,general,book,single_column,2.3995975839934545,1824,
doc_020,general,PPT2PDF,single_column,1.6403585000007297,644,
